Dorsch A Russell ,43
Duncan A Holt ,43
Edwin Stevens Co ,43
Frank Crumlt ,43
Halllgan A Sykes ,43
James J Morton ,43
Jessie Hayward Co ,43
Lawrence A Edwards ,43
Louise Mayo ,43
Moon A Morris ,43
Moore A Haager ,43
Mumford A Thompson ,43
Parish A Peru ,43
Robins ,43
Sylvester ,43
Temple ,43
The Crisps ,43
United Booking ,43
Victoria Four ,43
Walter Perclval Co ,43
Ward Baker ,43
Wright A Davis ,43
leveland ,43
' ,42
Alexander A Scott ,42
Alfred Bergen ,42
Andrew Kelly ,42
Andrew Mack ,42
Ben Deeley Co ,42
Bobbe A Dale ,42
Carson Bros ,42
Chief Caupollcan ,42
Chlnko ,42
Clark ft Verdi ,42
Dry Cleaned ,42
Empress ,42
Florette ,42
Golden A West ,42
Harry Fern Co ,42
Helen Primrose ,42
Jacob's Dogs ,42
Juggling DeLlsle ,42
Lew Palmore ,42
Linton A Lawrence ,42
Long Tack Sam Co ,42
Mack A Earl ,42
Merlin ,42
Miller A Vincent ,42
Paul Dickey Co ,42
Raymond Wllbert ,42
Shoes. ,42
Standard Bros ,42
Violet Dale ,42
Vlollnsky ,42
Volant ,42
Willie Bros ,42
Wood's Animals ,42
"sentative, Gayety ",42
"""Aurora of Light"" ",41
"""Bower of Melody"" ",41
(Filled by first half ,41
(Macon split) ,41
(Two to till) ,41
2d bslf ,41
4 Roses ,41
Anderson's Revue ,41
Blanche Sloan ,41
Boots and ,41
Carletta ,41
Carlisle A Romer ,41
Chicago's ,41
Dennis Bros ,41
Edison E ,41
Frances Kennedy ,41
Frank Wilson ,41
Fred V Bowers Co ,41
Froslnl ,41
Grace DeWlnters ,41
Grace La Rue ,41
Harry L Mason ,41
Jack Symonds ,41
Jos Jefferson Co ,41
Julian Rose ,41
Leon Rogee ,41
Leona Guerney ,41
Lew Cooper ,41
Mack A Velmar ,41
Novelty Minstrels ,41
One Popular ,41
Orpheus Comedy 4 ,41
Rath Bros ,41
Theatrical Hotel ,41
Vera Berliner ,41
Whiting A Burt ,41
Zeno A Mandel ,41
"""Fascinating Flirts"" ",40
(Lansing split) ,40
(Troy split) ,40
3 Emersons ,40
6 American Dancers ,40
Adolpho ,40
Andy Lewis Co ,40
Bijou ,40
Blossom Seeley Co ,40
Breen Family ,40
Chabot A Dixon ,40
Cleanser ,40
Collins ft Hart ,40
Conroy's Models ,40
Dancing Mars ,40
Dickinson A Deagon ,40
Don Carney ,40
Four ,40
Fred A Albert ,40
Freeman A Dunham ,40
Hector ,40
Heras A Preston ,40
Howard's Animals ,40
Howard's Bears ,40
I'd half ,40
James Cullen ,40
John T Ray Co ,40
Klnkald Kilties ,40
Lady Sen Mel ,40
M ,40
Merlan's Dogs ,40
Montrose A Allen ,40
Moore A Young ,40
Mori Bros ,40
Mrs G Hughes Co ,40
N. Y. ,40
Open All Night and ,40
Prince Floro ,40
"Providence, R. I. ",40
Sylvia Loyal Co ,40
Victoria. B. C. ,40
Wellington Cross ,40
"""Edge of World"" ",39
"""School Playground"" ",39
(nat) ,39
3 ,39
4 Bards ,39
4 Danubes ,39
: ,39
Amoros A Mulvey ,39
Bernard A Harrington ,39
Broughton A Turner ,39
Craig Campbell ,39
"Davenport, la. ",39
Dorothy Jardon ,39
Ellda Morris ,39
Finn A Finn ,39
Florentine Singers ,39
Fox A Ward ,39
Fred Allen ,39
Great Richards ,39
Hanlon A Hanlon ,39
Jack Gardner ,39
Jewell's Manikins ,39
John B Hymer Co ,39
Kane A Herman ,39
"Lincoln, Neb. ",39
Little Billy ,39
Mason Keeler Co ,39
Morris Golden ,39
Raymond ,39
Stuart ,39
Suit or Coat ,39
Temple 4 ,39
The Hennlngs ,39
The Youngers ,39
Thornton A Corlew ,39
Warren A Conley ,39
Wilson A Aubrey ,39
Work A Ower ,39
\ ,39
"""All Wrong"" ",38
"""Honor Thy Children"" ",38
